episode,reward,loss
0,-10.0,
1,-7.0,
2,-14.0,
3,-11.0,
4,-11.0,
5,-10.0,
6,-12.0,
7,-12.0,
8,-11.0,
9,-8.0,
10,-11.0,
11,-11.0,
12,-6.0,
13,-5.0,
14,-6.0,
15,-13.0,
16,-10.0,
17,-14.0,
18,-12.0,
19,-12.0,
20,-6.0,
21,-14.0,
22,-9.0,
23,-12.0,
24,-11.0,
25,-9.0,
26,-7.0,
27,-7.0,
28,-12.0,
29,-4.0,
30,-15.0,
31,-18.0,
32,-11.0,
33,-11.0,
34,-10.0,
35,-13.0,
36,-12.0,
37,-9.0,
38,-12.0,
39,-7.0,
40,-12.0,
41,-9.0,
42,-10.0,
43,-10.0,
44,-5.0,
45,-9.0,
46,-16.0,
47,-15.0,
48,-10.0,
49,-15.0,
50,-11.0,
51,-12.0,
52,-11.0,
53,-2.0,
54,-13.0,
55,-8.0,
56,-9.0,
57,-20.0,
58,-9.0,
59,-11.0,
60,-6.0,
61,-13.0,
62,-6.0,
63,-14.0,
64,-16.0,
65,-13.0,
66,-9.0,
67,-10.0,
68,-8.0,
69,-15.0,
70,-10.0,
71,-7.0,
72,-18.0,
73,-10.0,
74,-12.0,
75,-10.0,
76,-12.0,
77,-9.0,
78,-13.0,
79,-15.0,
80,-17.0,
81,-12.0,
82,-13.0,
83,-4.0,
84,-12.0,
85,-7.0,
86,-11.0,
87,-13.0,
88,-13.0,
89,-11.0,
90,-9.0,
91,-8.0,
92,-6.0,
93,-6.0,
94,-12.0,
95,-11.0,
96,-9.0,
97,-5.0,
98,-7.0,
99,-6.0,
100,-6.0,
101,-14.0,
102,-8.0,
103,-8.0,
104,-11.0,
105,-15.0,
106,-11.0,
107,-7.0,
108,-11.0,
109,-8.0,
110,-15.0,
111,-13.0,
112,-3.0,
113,-10.0,
114,-15.0,
115,-7.0,
116,-8.0,
117,-12.0,
118,-8.0,
119,-6.0,
120,-13.0,
121,-5.0,
122,-11.0,
123,-11.0,
124,-13.0,
125,-15.0,
126,-15.0,
127,-13.0,
128,-17.0,
129,-4.0,
130,-13.0,
131,-10.0,
132,-7.0,
133,-9.0,
134,-11.0,
135,-13.0,
136,-12.0,
137,-7.0,
138,-15.0,
139,-4.0,
140,-9.0,
141,-5.0,
142,-10.0,
143,-13.0,
144,-11.0,
145,-15.0,
146,-6.0,
147,-14.0,
148,-10.0,
149,-10.0,
150,-7.0,
151,-10.0,
152,-7.0,
153,-15.0,
154,-10.0,
155,-14.0,
156,-13.0,
157,-14.0,
158,-9.0,
159,-12.0,
160,-9.0,
161,-7.0,
162,-13.0,
163,-11.0,
164,-8.0,
165,-18.0,
166,-10.0,
167,-11.0,
168,-7.0,
169,-6.0,
170,-15.0,
171,-7.0,
172,-7.0,
173,-9.0,
174,-15.0,
175,-13.0,
176,-6.0,
177,-13.0,
178,-9.0,
179,-15.0,
180,-24.0,
181,-11.0,
182,-13.0,
183,-6.0,
184,-9.0,
185,-13.0,
186,-14.0,
187,-10.0,
188,-10.0,
189,-8.0,
190,-10.0,
191,-8.0,
192,-11.0,
193,-11.0,
194,-11.0,
195,-9.0,
196,-15.0,
197,-10.0,
198,-11.0,
199,-4.0,
200,-8.0,
201,-6.0,
202,-6.0,
203,-17.0,
204,-8.0,
205,-9.0,
206,-5.0,
207,-8.0,
208,-14.0,
209,-6.0,
210,-13.0,
211,-12.0,
212,-10.0,
213,-9.0,
214,-11.0,
215,-8.0,
216,-15.0,
217,-9.0,
218,-14.0,
219,-6.0,
220,-13.0,
221,-13.0,
222,-10.0,
223,-12.0,
224,-8.0,
225,-10.0,
226,-7.0,
227,-7.0,
228,-4.0,
229,-9.0,
230,-3.0,
231,-11.0,
232,-11.0,
233,-15.0,
234,-13.0,
235,-2.0,
236,-12.0,
237,-6.0,
238,-8.0,
239,-6.0,
240,-13.0,
241,-11.0,
242,-11.0,
243,-12.0,
244,-14.0,
245,-9.0,
246,-12.0,
247,-11.0,
248,-6.0,
249,-10.0,
250,-13.0,
251,-13.0,
252,-10.0,
253,-5.0,
254,-14.0,
255,-9.0,
256,-6.0,
257,-10.0,
258,-4.0,
259,-14.0,
260,-11.0,
261,-16.0,
262,-11.0,
263,-12.0,
264,-8.0,
265,-12.0,
266,-12.0,
267,-19.0,
268,-10.0,
269,-8.0,
270,-12.0,
271,-12.0,
272,-8.0,
273,-7.0,
274,-8.0,
275,-11.0,
276,-9.0,
277,-15.0,
278,-7.0,
279,-15.0,
280,-13.0,
281,-12.0,
282,-13.0,
283,-14.0,
284,-3.0,
285,-10.0,
286,-9.0,
287,-12.0,
288,-16.0,
289,-11.0,
290,-12.0,
291,-14.0,
292,-10.0,
293,-15.0,
294,-11.0,
295,-9.0,
296,-7.0,
297,-5.0,
298,-13.0,
299,-10.0,
300,-12.0,
301,-14.0,
302,-13.0,
303,-18.0,
304,-12.0,
305,-16.0,
306,-10.0,
307,-6.0,
308,-8.0,
309,-13.0,
310,-10.0,
311,-16.0,
312,-10.0,
313,-14.0,
314,-5.0,
315,-16.0,
316,-10.0,
317,-16.0,
318,-11.0,
319,-16.0,
320,-11.0,
321,-11.0,
322,-8.0,
323,-12.0,
324,-12.0,
325,-12.0,
326,-1.0,
327,-6.0,
328,-9.0,
329,-8.0,
330,-13.0,
331,-10.0,
332,-8.0,
333,-9.0,
334,-12.0,
335,-15.0,
336,0.0,
337,-11.0,
338,-14.0,
339,-15.0,
340,-11.0,
341,-18.0,
342,-9.0,
343,-15.0,
344,-7.0,
345,-7.0,
346,-9.0,
347,-10.0,
348,-16.0,
349,-6.0,
350,-15.0,
351,-17.0,
352,-16.0,
353,-11.0,
354,-6.0,
355,-11.0,
356,-11.0,
357,-8.0,
358,-11.0,
359,-13.0,
360,-8.0,
361,-11.0,
362,-18.0,
363,-7.0,
364,-9.0,
365,-7.0,
366,-10.0,
367,-11.0,
368,-13.0,
369,-18.0,
370,-10.0,
371,-11.0,
372,-10.0,
373,-14.0,
374,-10.0,
375,-11.0,
376,-13.0,
377,-12.0,
378,-8.0,
